length,entropy,special_char_ratio,digit_ratio,alpha_ratio,whitespace_count,max_char_run,hex_encoded,keyword_count,keyword_diversity,has_union,boolean_op_count,has_time_keyword,has_exfil_keyword,has_destructive,comment_count,quote_imbalance,comparison_count,semicolon_count,url_encoding_depth,ast_token_count,ast_keyword_count,ast_has_where,ast_has_comparison,ast_has_union
8,3.0,0.0,0.0,0.875,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
15,3.3735572622751855,0.0,0.26666666666666666,0.6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
12,2.355388542207534,0.4166666666666667,0.0,0.4166666666666667,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0,0,0,0
9,2.058813890331201,0.5555555555555556,0.0,0.2222222222222222,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0
80,4.703701696057347,0.05,0.05,0.7125,12,1,0,1,1,0,1,0,0,0,0,0,2,0,0,36,4,1,1,0
45,3.562895543566397,0.15555555555555556,0.4444444444444444,0.4,0,2,1,0,0,0,0,0,0,0,1,0,0,0,15,25,0,0,0,0
63,4.974720249551817,0.12698412698412698,0.12698412698412698,0.5555555555555556,7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,31,3,0,0,0
53,4.567056540689039,0.07547169811320754,0.0,0.7924528301886793,7,1,0,1,1,0,0,0,0,0,0,0,1,0,0,20,3,1,1,0
18,3.5032583347756456,0.2777777777777778,0.05555555555555555,0.4444444444444444,4,2,0,1,1,0,1,1,0,0,1,1,0,0,0,15,1,0,0,0
8,2.75,0.0,0.125,0.75,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
8,2.5,0.375,0.25,0.25,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,8,1,0,1,0
11,2.8453509366224368,0.0,0.0,0.9090909090909091,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
76,4.680489798384533,0.02631578947368421,0.039473684210526314,0.75,13,1,0,1,1,0,0,0,0,0,0,0,1,0,0,32,5,1,1,0
15,3.323231428797621,0.0,0.26666666666666666,0.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
